firm_id,year,post,treat,firm_size,sector,region,mh_plan,mh_champion,mh_budget,leadership_support,digital_tool,hybrid_policy,sick_days,presenteeism_flag,turnover_rate,productivity_per_employee,well_being_index,engagement_index,life_satisfaction
100029,2022,1,0,Medium,Other Services,Northern & Western,0,0,0,0,0,1,3.22,0.0,20.12,85.15,58.57,54.22,7.21
100030,2022,1,0,Large,Production,Southern,0,0,0,0,0,0,3.01,0.0,16.28,78.68,58.29,57.18,7.02
100031,2022,1,0,Large,Construction,Northern & Western,0,0,0,0,0,0,3.39,1.0,18.13,78.27,61.27,57.62,6.89
100032,2022,1,0,Small,Retail,Northern & Western,0,0,0,0,0,0,2.76,1.0,20.22,100.59,58.99,55.06,7.0
100033,2022,1,1,Small,Other Services,Southern,0,0,0,1,0,0,3.04,0.0,13.89,82.67,61.92,58.96,7.42
100034,2022,1,0,Medium,Production,Southern,0,0,0,0,0,0,2.93,0.0,15.43,72.65,56.32,56.28,7.1
100035,2022,1,1,Medium,Hospitality,Eastern & Midlands,1,0,1,0,1,0,2.24,0.0,10.94,86.68,61.0,59.52,7.61
100036,2022,1,0,Large,Other Services,Eastern & Midlands,0,0,0,0,0,0,3.25,1.0,15.94,75.88,61.42,55.68,6.85
100037,2022,1,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,2.98,0.0,17.86,94.69,57.56,54.38,7.34
100038,2022,1,1,Large,Hospitality,Eastern & Midlands,1,0,1,1,0,0,2.27,0.0,12.83,97.8,65.28,58.24,7.19
100039,2022,1,0,Large,Hospitality,Southern,0,0,0,0,0,1,2.98,1.0,14.89,100.24,59.22,54.32,6.86
100040,2022,1,0,Small,Other Services,Eastern & Midlands,0,0,0,0,0,0,2.99,1.0,16.44,93.82,61.35,54.08,7.33
100041,2022,1,0,Large,Retail,Southern,0,0,0,0,0,1,3.11,0.0,16.04,92.08,56.85,52.88,6.78
100042,2022,1,1,Small,Retail,Northern & Western,1,0,1,1,0,0,2.49,0.0,11.38,88.11,61.02,55.38,7.33
100043,2022,1,0,Large,Other Services,Southern,0,0,0,0,0,0,4.0,1.0,14.32,74.85,55.43,56.48,6.91
100044,2022,1,1,Large,Other Services,Eastern & Midlands,1,0,1,1,1,1,2.23,0.0,11.14,74.68,67.02,58.84,7.55
100045,2022,1,0,Large,Other Services,Southern,0,0,0,0,0,0,3.11,0.0,14.91,92.88,58.3,57.34,7.29
100046,2022,1,1,Medium,Business Services,Southern,1,1,0,1,1,0,2.55,0.0,11.22,92.6,60.67,57.86,7.38
100047,2022,1,1,Medium,Construction,Southern,0,1,0,0,1,0,2.37,0.0,15.16,108.73,65.19,53.51,7.19
100048,2022,1,0,Small,Hospitality,Southern,0,0,0,0,0,0,2.61,1.0,19.02,82.37,56.53,57.45,7.1
100049,2022,1,0,Large,Other Services,Southern,0,0,0,0,0,0,2.47,0.0,16.5,89.96,58.4,56.27,7.09
100050,2022,1,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,0,2.82,0.0,17.62,75.94,58.31,55.1,7.24
100051,2022,1,0,Small,Business Services,Southern,0,0,0,0,0,1,3.07,1.0,14.89,77.49,60.26,52.81,7.38
100052,2022,1,1,Large,Hospitality,Eastern & Midlands,1,1,1,1,0,0,2.63,0.0,14.12,97.12,65.47,60.52,7.78
100053,2022,1,0,Medium,Construction,Northern & Western,0,0,0,0,0,0,2.76,0.0,19.09,103.15,60.1,57.17,7.22
100054,2022,1,1,Medium,Hospitality,Southern,0,1,1,0,0,0,2.27,1.0,14.0,82.71,62.2,60.19,7.28
100055,2022,1,0,Small,Retail,Northern & Western,0,0,0,0,0,1,2.76,0.0,15.84,83.64,57.45,54.23,7.0
100056,2022,1,1,Medium,Other Services,Eastern & Midlands,1,0,0,0,1,1,2.8,0.0,9.65,84.75,63.51,56.75,7.4
100057,2022,1,0,Large,Retail,Southern,0,0,0,0,0,1,3.08,1.0,14.06,80.26,58.54,53.21,7.18
100058,2022,1,1,Large,Production,Northern & Western,1,0,0,0,0,1,2.28,0.0,12.74,92.0,62.52,57.9,6.92
100059,2022,1,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,3.0,0.0,14.8,72.4,59.01,57.56,7.2
100060,2022,1,1,Medium,Other Services,Northern & Western,1,1,1,1,1,0,2.26,0.0,10.74,112.14,63.83,57.81,7.34
100061,2022,1,0,Small,Construction,Southern,0,0,0,0,0,1,3.16,0.0,15.19,80.79,58.24,53.11,7.37
100062,2022,1,1,Medium,Hospitality,Southern,1,1,1,1,0,1,2.37,0.0,12.94,89.99,61.72,58.07,7.07
100063,2022,1,1,Small,Production,Southern,0,0,0,0,1,0,2.82,0.0,10.82,99.31,63.1,65.88,7.05
100064,2022,1,1,Large,Business Services,Eastern & Midlands,1,1,0,1,0,0,2.73,0.0,15.6,89.44,63.94,59.78,7.21
100065,2022,1,0,Large,Business Services,Northern & Western,0,0,0,0,0,0,3.11,0.0,19.32,95.06,61.17,51.07,7.24
100066,2022,1,0,Large,Business Services,Eastern & Midlands,0,0,0,0,0,0,3.13,0.0,18.02,99.87,57.81,52.07,7.14
100067,2022,1,0,Medium,Construction,Northern & Western,0,0,0,0,0,0,3.04,1.0,17.24,91.97,57.13,54.09,7.17
100068,2022,1,0,Medium,Other Services,Eastern & Midlands,0,0,0,0,0,0,3.0,0.0,18.82,92.83,59.51,54.96,7.0
100069,2022,1,0,Medium,Retail,Southern,0,0,0,0,0,1,2.69,0.0,15.63,80.9,59.27,53.64,7.14
100070,2022,1,1,Small,Production,Northern & Western,1,0,1,1,1,1,2.64,0.0,10.64,93.44,66.54,58.77,7.32
100071,2022,1,0,Small,Construction,Northern & Western,0,0,0,0,0,1,3.47,0.0,14.98,73.16,62.33,57.29,7.1
100072,2022,1,0,Small,Hospitality,Northern & Western,0,0,0,0,0,0,3.16,0.0,13.78,80.07,62.39,56.93,6.96
100073,2022,1,0,Large,Construction,Eastern & Midlands,0,0,0,0,0,0,2.5,0.0,17.33,79.72,58.23,56.84,7.06
100074,2022,1,0,Small,Hospitality,Southern,0,0,0,0,0,0,2.61,0.0,12.97,72.97,60.75,51.9,7.21
100075,2022,1,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,3.38,0.0,15.75,95.24,57.94,50.1,6.95
100076,2022,1,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,3.62,0.0,15.36,73.02,56.44,54.9,6.92
100077,2022,1,0,Large,Construction,Northern & Western,0,0,0,0,0,1,2.54,0.0,12.72,84.64,63.26,56.52,7.15
100078,2022,1,0,Medium,Retail,Southern,0,0,0,0,0,0,2.74,0.0,17.34,103.49,61.42,55.19,7.11
100079,2022,1,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,3.03,0.0,11.69,105.04,58.26,54.94,7.02
100080,2022,1,1,Medium,Business Services,Southern,1,0,1,1,1,0,2.67,0.0,14.68,91.64,61.5,55.18,7.14
100081,2022,1,1,Small,Retail,Eastern & Midlands,1,1,0,1,0,1,2.19,1.0,13.86,83.2,64.3,57.85,7.11
100082,2022,1,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,1,2.7,0.0,16.95,89.72,57.67,57.02,7.46
100083,2022,1,0,Medium,Retail,Southern,0,0,0,0,0,0,3.13,1.0,20.66,92.01,60.25,52.85,6.94
100084,2022,1,1,Medium,Construction,Southern,1,0,0,1,0,0,2.82,0.0,16.36,92.4,63.29,59.89,7.46
100085,2022,1,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,2.85,1.0,17.9,98.51,58.47,54.99,7.05
100086,2022,1,0,Medium,Production,Southern,0,0,0,0,0,1,2.53,1.0,18.79,82.0,56.43,53.76,7.33
100087,2022,1,0,Small,Production,Southern,0,0,0,0,0,1,2.95,1.0,15.82,105.39,60.7,56.01,6.7
100088,2022,1,0,Large,Other Services,Northern & Western,0,0,0,0,0,0,3.28,0.0,18.39,78.9,60.58,54.97,7.26
100089,2022,1,0,Medium,Other Services,Eastern & Midlands,0,0,0,0,0,0,2.95,0.0,17.42,94.72,60.08,55.18,6.99
100090,2022,1,0,Small,Hospitality,Eastern & Midlands,0,0,0,0,0,0,3.72,0.0,17.05,84.58,61.16,56.8,6.92
100091,2022,1,1,Medium,Retail,Southern,0,0,0,1,1,0,2.2,0.0,10.3,80.9,64.36,58.92,7.12
100092,2022,1,1,Large,Construction,Southern,0,0,0,1,0,0,2.59,0.0,13.74,88.42,62.95,53.52,7.13
100093,2022,1,0,Small,Production,Southern,0,0,0,0,0,1,3.19,0.0,19.56,94.14,64.81,53.13,7.28
100094,2022,1,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,1,3.05,0.0,13.23,82.36,57.93,54.92,7.01
100095,2022,1,0,Large,Hospitality,Northern & Western,0,0,0,0,0,1,2.65,0.0,18.68,77.7,58.84,56.76,6.98
100096,2022,1,1,Large,Retail,Eastern & Midlands,0,1,0,1,0,0,2.5,0.0,13.81,78.81,63.52,58.05,7.53
100097,2022,1,1,Small,Construction,Northern & Western,1,1,1,0,0,0,2.45,0.0,13.3,73.61,63.06,61.15,7.06
100098,2022,1,0,Large,Retail,Southern,0,0,0,0,0,0,3.02,0.0,13.89,75.14,60.3,56.87,7.18
100099,2022,1,0,Medium,Production,Eastern & Midlands,0,0,0,0,0,0,3.28,0.0,16.84,71.93,57.38,54.57,6.7
100100,2022,1,0,Large,Construction,Northern & Western,0,0,0,0,0,0,2.66,0.0,13.66,97.33,58.48,51.73,7.04
100101,2022,1,0,Large,Business Services,Eastern & Midlands,0,0,0,0,0,1,3.0,1.0,17.4,91.11,59.9,53.35,7.47
100102,2022,1,1,Small,Production,Northern & Western,1,0,1,0,1,1,2.6,0.0,12.79,106.5,65.27,58.26,7.2
100103,2022,1,1,Large,Retail,Northern & Western,0,0,1,0,1,0,2.65,0.0,14.59,82.99,68.17,59.66,7.11
100104,2022,1,0,Small,Hospitality,Eastern & Midlands,0,0,0,0,0,0,2.45,0.0,14.44,92.9,59.66,54.32,7.18
100105,2022,1,1,Medium,Business Services,Southern,0,1,0,0,1,0,2.56,0.0,14.27,80.93,61.09,54.71,7.42
100106,2022,1,0,Large,Other Services,Eastern & Midlands,0,0,0,0,0,0,3.31,1.0,18.87,77.7,57.94,57.04,7.37
100107,2022,1,0,Large,Construction,Southern,0,0,0,0,0,0,2.63,0.0,12.78,71.53,58.84,56.23,7.1
100108,2022,1,1,Small,Other Services,Northern & Western,1,1,1,1,0,0,2.09,0.0,14.09,85.59,62.35,57.3,7.4
100109,2022,1,1,Small,Production,Northern & Western,0,0,1,0,0,0,2.97,0.0,13.85,84.71,60.79,57.91,7.17
100110,2022,1,0,Large,Construction,Eastern & Midlands,0,0,0,0,0,1,2.62,0.0,14.69,82.73,57.84,54.89,6.94
100111,2022,1,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,0,2.88,0.0,13.12,90.22,57.25,53.58,6.91
100112,2022,1,0,Large,Business Services,Southern,0,0,0,0,0,1,3.36,0.0,15.85,83.62,57.65,58.2,7.12
100113,2022,1,0,Medium,Business Services,Southern,0,0,0,0,0,0,3.16,0.0,17.11,77.4,58.31,52.51,6.67
100114,2022,1,1,Large,Business Services,Eastern & Midlands,0,1,1,1,1,0,2.43,0.0,12.36,92.27,59.94,60.75,7.91
100115,2022,1,0,Medium,Business Services,Southern,0,0,0,0,0,0,3.29,0.0,16.44,86.57,59.36,56.23,7.46
100116,2022,1,1,Medium,Hospitality,Southern,0,0,0,1,1,0,2.9,0.0,11.69,112.26,62.61,58.25,7.16
100117,2022,1,0,Small,Retail,Eastern & Midlands,0,0,0,0,0,1,3.08,1.0,14.67,98.45,58.0,53.66,6.92
100118,2022,1,0,Small,Business Services,Eastern & Midlands,0,0,0,0,0,0,3.49,0.0,14.35,79.32,57.95,55.01,7.34
100119,2022,1,1,Small,Production,Northern & Western,0,0,0,1,1,1,2.08,0.0,11.3,94.09,64.11,54.73,7.53
100120,2022,1,1,Small,Construction,Northern & Western,0,1,1,1,0,0,2.27,0.0,13.24,75.42,62.51,59.47,7.47
100121,2022,1,1,Large,Other Services,Eastern & Midlands,1,1,0,1,1,1,2.69,0.0,10.67,107.32,63.87,56.81,7.11
100122,2022,1,0,Medium,Business Services,Northern & Western,0,0,0,0,0,0,2.85,0.0,16.53,85.33,55.62,57.31,7.21
100123,2022,1,0,Large,Production,Southern,0,0,0,0,0,0,2.7,0.0,15.62,86.03,60.61,49.55,6.87
100124,2022,1,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,1,3.22,0.0,18.29,81.55,59.63,54.23,7.32
100125,2022,1,0,Medium,Production,Northern & Western,0,0,0,0,0,0,2.95,1.0,16.07,84.66,60.07,57.13,7.32
100126,2022,1,1,Medium,Other Services,Eastern & Midlands,0,0,0,1,1,0,2.54,1.0,12.35,94.18,62.95,61.1,7.55
100127,2022,1,0,Large,Other Services,Northern & Western,0,0,0,0,0,1,3.36,0.0,15.4,78.21,58.86,56.27,7.16
100128,2022,1,0,Small,Production,Eastern & Midlands,0,0,0,0,0,1,3.16,1.0,12.04,78.17,55.55,57.29,7.03
100129,2022,1,0,Large,Hospitality,Southern,0,0,0,0,0,0,2.76,0.0,17.0,83.58,58.7,58.43,7.14
100130,2022,1,0,Medium,Other Services,Northern & Western,0,0,0,0,0,1,3.38,0.0,13.67,71.86,61.04,50.71,7.24
100131,2022,1,0,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,3.12,1.0,15.73,98.24,61.61,55.31,6.97
100132,2022,1,0,Medium,Construction,Southern,0,0,0,0,0,0,2.8,0.0,13.43,90.1,60.79,56.78,6.92
100133,2022,1,0,Small,Business Services,Northern & Western,0,0,0,0,0,0,3.11,1.0,15.79,84.0,61.95,57.12,7.19
100134,2022,1,1,Small,Other Services,Northern & Western,1,0,0,1,1,0,3.16,0.0,14.5,94.04,62.35,57.85,7.44
100135,2022,1,1,Large,Production,Eastern & Midlands,0,1,1,1,0,1,2.69,0.0,12.21,101.5,61.38,58.69,7.14
100136,2022,1,1,Small,Retail,Southern,0,1,1,1,0,1,2.23,0.0,14.3,92.98,64.26,57.97,7.13
100137,2022,1,1,Medium,Retail,Eastern & Midlands,1,1,1,1,0,1,2.11,0.0,12.28,80.71,63.0,56.25,7.14
100138,2022,1,0,Medium,Construction,Northern & Western,0,0,0,0,0,0,3.05,1.0,16.63,84.41,60.26,54.39,7.27
100139,2022,1,1,Small,Retail,Eastern & Midlands,1,1,1,1,1,1,2.54,0.0,13.24,95.73,63.14,60.22,7.29
100140,2022,1,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,0,2.94,0.0,16.51,98.88,61.11,55.27,6.98
100141,2022,1,0,Small,Business Services,Southern,0,0,0,0,0,1,2.9,0.0,16.38,86.61,56.98,52.17,6.71
100142,2022,1,0,Large,Construction,Southern,0,0,0,0,0,0,3.19,0.0,15.81,79.87,59.05,55.08,7.05
100143,2022,1,0,Large,Hospitality,Northern & Western,0,0,0,0,0,0,2.78,0.0,18.0,97.13,62.75,56.94,6.91
100144,2022,1,0,Medium,Hospitality,Southern,0,0,0,0,0,0,2.98,0.0,17.03,97.63,56.77,52.02,7.08
100145,2022,1,1,Large,Hospitality,Eastern & Midlands,1,0,1,0,0,0,2.32,0.0,8.36,94.76,60.56,54.3,7.32
100146,2022,1,1,Large,Other Services,Northern & Western,1,0,0,1,0,0,2.38,0.0,14.58,74.01,65.57,59.33,7.02
100147,2022,1,1,Medium,Hospitality,Southern,1,1,0,1,1,0,2.83,1.0,16.04,99.06,63.08,58.96,7.03
100148,2022,1,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,3.07,0.0,17.35,94.96,58.65,54.46,7.49
100149,2022,1,0,Small,Hospitality,Eastern & Midlands,0,0,0,0,0,1,3.17,0.0,20.21,92.36,59.01,56.99,6.98
100150,2022,1,1,Small,Hospitality,Northern & Western,0,1,1,0,0,1,2.55,0.0,13.66,85.02,64.0,59.66,7.49
100151,2022,1,0,Large,Other Services,Northern & Western,0,0,0,0,0,1,2.6,1.0,16.82,64.35,57.41,55.36,7.2
100152,2022,1,1,Medium,Hospitality,Southern,0,1,1,1,1,0,2.26,0.0,10.53,116.23,61.75,60.93,7.38
100153,2022,1,0,Large,Hospitality,Southern,0,0,0,0,0,0,3.15,0.0,16.46,81.56,60.04,56.39,6.9
100154,2022,1,0,Large,Business Services,Southern,0,0,0,0,0,0,3.22,0.0,14.13,89.99,54.3,55.57,7.12
100155,2022,1,1,Medium,Other Services,Southern,0,1,0,1,1,1,1.83,1.0,9.89,97.01,66.54,56.28,7.53
100156,2022,1,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,3.42,1.0,17.89,96.56,59.59,55.39,7.44
100157,2022,1,0,Medium,Construction,Eastern & Midlands,0,0,0,0,0,0,2.7,1.0,16.0,75.26,56.9,58.12,7.09
100158,2022,1,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,3.53,0.0,18.72,86.0,56.89,53.63,7.02
100159,2022,1,0,Large,Other Services,Southern,0,0,0,0,0,0,2.71,0.0,19.1,98.41,57.8,52.46,7.2
100160,2022,1,0,Large,Retail,Northern & Western,0,0,0,0,0,1,3.24,1.0,13.59,99.27,59.58,56.63,7.31
100161,2022,1,0,Large,Production,Southern,0,0,0,0,0,1,3.08,0.0,16.43,91.96,55.81,53.81,6.72
100162,2022,1,0,Medium,Other Services,Southern,0,0,0,0,0,1,2.78,1.0,13.89,86.2,59.65,56.14,6.99
100163,2022,1,0,Small,Business Services,Northern & Western,0,0,0,0,0,0,3.0,0.0,16.55,83.26,59.09,53.12,6.88
100164,2022,1,0,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,3.26,0.0,18.11,77.57,58.0,54.26,7.05
100165,2022,1,0,Small,Business Services,Eastern & Midlands,0,0,0,0,0,1,2.87,0.0,14.18,77.63,58.84,53.42,6.71
100166,2022,1,0,Small,Production,Southern,0,0,0,0,0,0,3.32,0.0,14.43,93.73,57.74,55.76,7.35
100167,2022,1,0,Small,Production,Northern & Western,0,0,0,0,0,1,2.79,1.0,10.69,77.64,58.43,55.74,7.13
100168,2022,1,1,Medium,Other Services,Eastern & Midlands,0,1,1,0,1,1,2.51,1.0,15.5,77.99,66.93,56.74,7.51
100169,2022,1,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,1,2.61,0.0,18.1,83.39,61.9,55.13,7.07
100170,2022,1,0,Large,Hospitality,Northern & Western,0,0,0,0,0,1,3.09,0.0,15.61,97.09,57.2,56.65,7.13
100171,2022,1,0,Large,Construction,Northern & Western,0,0,0,0,0,0,2.98,0.0,12.4,88.2,57.03,53.8,7.23
100172,2022,1,0,Medium,Production,Eastern & Midlands,0,0,0,0,0,0,3.03,0.0,15.19,81.3,59.48,54.0,7.04
100173,2022,1,1,Medium,Hospitality,Southern,0,1,0,0,0,1,2.09,0.0,13.47,90.63,63.03,60.7,7.09
100174,2022,1,0,Small,Production,Southern,0,0,0,0,0,0,2.73,0.0,17.28,90.62,60.17,55.88,7.22
100175,2022,1,1,Medium,Construction,Eastern & Midlands,1,0,1,1,0,1,2.48,0.0,8.62,98.84,65.55,61.74,7.53
100176,2022,1,0,Medium,Retail,Southern,0,0,0,0,0,1,3.63,1.0,17.97,90.77,61.41,55.08,7.3
100177,2022,1,0,Medium,Production,Southern,0,0,0,0,0,0,2.92,1.0,15.46,95.43,60.52,51.71,6.73
100178,2022,1,1,Medium,Construction,Northern & Western,0,1,1,0,1,0,2.73,0.0,13.99,101.94,62.9,55.13,7.39
100179,2022,1,0,Small,Construction,Northern & Western,0,0,0,0,0,0,3.7,0.0,17.05,83.87,59.71,53.34,7.23
100180,2022,1,0,Large,Construction,Northern & Western,0,0,0,0,0,0,2.82,0.0,14.62,93.55,60.87,54.79,6.5
100181,2022,1,0,Small,Business Services,Southern,0,0,0,0,0,0,3.39,0.0,14.37,81.36,62.1,55.32,7.52
100182,2022,1,0,Medium,Other Services,Northern & Western,0,0,0,0,0,0,2.94,1.0,14.79,71.59,61.79,54.59,7.31
100183,2022,1,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,3.03,0.0,11.89,86.97,57.95,55.51,7.12
100184,2022,1,1,Large,Production,Eastern & Midlands,1,0,1,1,1,1,2.73,0.0,9.79,87.3,59.41,54.98,7.27
100185,2022,1,0,Large,Other Services,Northern & Western,0,0,0,0,0,1,3.09,0.0,18.57,70.92,60.08,53.2,7.12
100186,2022,1,0,Large,Business Services,Eastern & Midlands,0,0,0,0,0,1,2.71,0.0,15.89,107.61,58.8,58.49,6.73
100187,2022,1,1,Small,Production,Southern,1,1,0,1,1,1,2.59,0.0,10.09,106.44,64.93,56.36,7.42
100188,2022,1,0,Large,Other Services,Northern & Western,0,0,0,0,0,1,2.7,0.0,13.45,79.6,59.58,53.22,7.2
100189,2022,1,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,3.28,0.0,15.38,77.82,55.38,56.15,7.26
100190,2022,1,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,3.16,0.0,18.64,75.6,53.28,56.89,7.14
100191,2022,1,1,Medium,Construction,Eastern & Midlands,1,1,1,1,1,0,2.46,0.0,7.66,96.63,63.65,58.11,7.24
100192,2022,1,0,Small,Other Services,Southern,0,0,0,0,0,0,3.12,1.0,16.75,93.3,57.35,56.28,7.13
100193,2022,1,0,Large,Other Services,Northern & Western,0,0,0,0,0,1,2.67,1.0,16.73,82.8,57.56,57.28,7.34
100194,2022,1,1,Large,Production,Southern,1,0,1,1,1,1,2.62,0.0,14.33,108.91,63.64,56.99,7.15
100195,2022,1,0,Large,Construction,Eastern & Midlands,0,0,0,0,0,0,3.07,1.0,14.56,71.92,57.84,55.46,7.24
100196,2022,1,0,Large,Hospitality,Southern,0,0,0,0,0,0,2.87,0.0,18.44,79.7,58.18,56.44,7.11
100197,2022,1,0,Medium,Production,Southern,0,0,0,0,0,0,3.12,0.0,19.38,83.36,57.02,54.07,7.11
100198,2022,1,0,Small,Retail,Eastern & Midlands,0,0,0,0,0,0,2.95,0.0,14.76,81.01,59.75,54.37,7.35
100199,2022,1,0,Large,Retail,Northern & Western,0,0,0,0,0,1,2.98,0.0,14.57,75.53,62.14,54.52,6.7
100200,2022,1,0,Medium,Retail,Northern & Western,0,0,0,0,0,1,3.06,0.0,17.51,93.36,58.67,54.25,7.16
100201,2022,1,0,Medium,Hospitality,Southern,0,0,0,0,0,0,2.78,1.0,13.95,96.63,60.53,55.47,6.65
100202,2022,1,0,Small,Retail,Northern & Western,0,0,0,0,0,0,2.24,1.0,15.87,98.14,59.07,52.67,7.57
100203,2022,1,1,Large,Other Services,Eastern & Midlands,1,0,1,1,1,0,2.22,1.0,14.11,99.95,65.22,57.88,7.86
100204,2022,1,1,Small,Production,Northern & Western,1,0,1,1,0,1,2.78,0.0,12.27,82.3,68.18,61.47,7.18
100205,2022,1,0,Large,Other Services,Southern,0,0,0,0,0,0,3.35,0.0,15.3,89.55,61.73,50.02,7.39
100206,2022,1,0,Small,Retail,Eastern & Midlands,0,0,0,0,0,1,3.26,0.0,17.32,86.43,57.71,52.48,7.09
100207,2022,1,1,Large,Production,Eastern & Midlands,1,1,0,1,0,0,2.36,0.0,15.67,104.12,61.45,55.08,7.49
100208,2022,1,0,Large,Other Services,Eastern & Midlands,0,0,0,0,0,1,3.17,0.0,15.63,73.44,57.39,50.71,7.11
100209,2022,1,1,Small,Hospitality,Southern,0,1,0,1,0,1,2.54,0.0,9.41,95.73,63.91,59.08,7.31
100210,2022,1,0,Large,Construction,Southern,0,0,0,0,0,1,2.76,1.0,14.13,78.2,58.08,55.41,7.19
100211,2022,1,0,Small,Other Services,Northern & Western,0,0,0,0,0,0,3.18,0.0,16.0,89.31,56.48,55.05,7.17
100212,2022,1,0,Small,Business Services,Southern,0,0,0,0,0,1,2.97,1.0,14.48,103.81,58.03,51.31,7.35
