firm_id,year,post,treat,firm_size,main_sector,region,mh_plan,mh_champion,mh_budget,leadership_support,digital_tool,hybrid_policy,well_being_index,engagement_index,life_satisfaction,sick_days,turnover_rate,presenteeism_flag,productivity_per_employee,manager_experience,manager_age,manager_education
100016,2019,0,0,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.3,58.74,6.97,3.01,13.08,0.0,103.53,,,
100017,2019,0,0,Medium,Retail,Northern & Western,0,0,0,0,0,0,65.06,57.36,7.48,3.19,9.99,0.0,114.73,,,
100018,2019,0,0,Medium,Business Services,Northern & Western,0,0,0,0,0,0,63.87,58.32,6.84,2.27,14.82,0.0,79.08,,,
100019,2019,0,1,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.25,58.79,7.18,2.25,14.91,1.0,69.79,,,
100020,2019,0,0,Small,Business Services,Southern,0,0,0,0,0,0,63.03,59.42,7.43,2.45,12.79,0.0,79.67,,,
100021,2019,0,0,Small,Business Services,Southern,0,0,0,0,0,0,62.94,59.57,7.02,2.5,11.88,0.0,79.56,,,
100022,2019,0,0,Large,Construction,Northern & Western,0,0,0,0,0,0,61.35,57.31,7.46,2.37,9.92,0.0,85.33,,,
100023,2019,0,0,Large,Construction,Eastern & Midlands,0,0,0,0,0,0,66.77,55.09,7.66,2.37,11.55,0.0,84.67,,,
100024,2019,0,0,Medium,Production,Southern,0,0,0,0,0,0,62.6,59.02,7.05,3.13,12.87,0.0,97.74,,,
100025,2019,0,0,Small,Other Services,Northern & Western,0,0,0,0,0,0,65.66,55.28,7.31,3.08,12.53,0.0,98.55,,,
100026,2019,0,1,Large,Construction,Northern & Western,0,0,0,0,0,0,64.15,56.55,7.18,2.35,13.09,0.0,89.74,,,
100027,2019,0,1,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,64.18,60.3,6.96,2.3,9.07,1.0,95.06,,,
100028,2019,0,1,Small,Business Services,Southern,0,0,0,0,0,0,61.31,55.46,6.87,2.69,14.48,1.0,75.74,,,
100029,2019,0,0,Medium,Other Services,Northern & Western,0,0,0,0,0,0,65.19,57.69,7.14,2.94,11.44,1.0,96.44,,,
100030,2019,0,0,Large,Production,Southern,0,0,0,0,0,0,65.38,58.05,6.67,2.34,8.85,0.0,82.62,,,
100031,2019,0,0,Large,Construction,Northern & Western,0,0,0,0,0,0,64.6,59.19,7.27,3.09,10.9,0.0,115.01,,,
100032,2019,0,0,Small,Retail,Northern & Western,0,0,0,0,0,0,64.19,60.72,7.19,2.87,12.06,1.0,79.05,,,
100033,2019,0,1,Small,Other Services,Southern,0,0,0,0,0,0,61.99,59.77,7.42,2.5,10.86,0.0,94.27,,,
100034,2019,0,0,Medium,Production,Southern,0,0,0,0,0,0,66.06,59.39,7.28,2.47,13.03,0.0,87.75,,,
100035,2019,0,1,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.7,60.99,7.25,2.4,11.74,0.0,98.79,,,
100036,2019,0,0,Large,Other Services,Eastern & Midlands,0,0,0,0,0,0,64.17,54.65,6.98,2.95,11.86,0.0,110.95,,,
100037,2019,0,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,64.02,54.7,7.1,2.31,12.64,0.0,72.69,,,
100038,2019,0,1,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,61.64,57.77,6.99,2.53,11.1,0.0,77.81,,,
100039,2019,0,0,Large,Hospitality,Southern,0,0,0,0,0,0,64.21,57.79,7.15,2.45,13.17,1.0,110.55,,,
100040,2019,0,0,Small,Other Services,Eastern & Midlands,0,0,0,0,0,0,66.64,57.89,7.34,2.95,12.46,1.0,94.35,,,
100041,2019,0,0,Large,Retail,Southern,0,0,0,0,0,0,64.43,52.83,7.03,2.15,12.19,0.0,83.32,,,
100042,2019,0,1,Small,Retail,Northern & Western,0,0,0,0,0,0,63.82,59.4,7.26,2.6,14.33,1.0,90.05,,,
100043,2019,0,0,Large,Other Services,Southern,0,0,0,0,0,0,64.27,59.52,7.48,3.0,10.81,0.0,93.62,,,
100044,2019,0,1,Large,Other Services,Eastern & Midlands,0,0,0,0,0,0,67.59,57.5,7.43,2.55,14.09,0.0,87.86,,,
100045,2019,0,0,Large,Other Services,Southern,0,0,0,0,0,0,66.34,58.95,7.15,2.82,12.42,0.0,91.32,,,
100046,2019,0,1,Medium,Business Services,Southern,0,0,0,0,0,0,67.04,56.85,7.72,2.3,12.62,0.0,87.86,,,
100047,2019,0,1,Medium,Construction,Southern,0,0,0,0,0,0,64.18,59.6,7.17,2.41,10.72,1.0,105.66,,,
100048,2019,0,0,Small,Hospitality,Southern,0,0,0,0,0,0,62.84,59.93,6.94,2.85,15.23,0.0,100.73,,,
100049,2019,0,0,Large,Other Services,Southern,0,0,0,0,0,0,63.67,57.56,6.62,2.98,13.06,0.0,91.53,,,
100050,2019,0,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,0,66.4,59.47,7.1,2.46,14.98,0.0,86.12,,,
100051,2019,0,0,Small,Business Services,Southern,0,0,0,0,0,0,66.69,59.37,7.6,2.32,14.33,0.0,89.81,,,
100052,2019,0,1,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,62.79,57.85,6.99,2.36,9.54,1.0,81.91,,,
100053,2019,0,0,Medium,Construction,Northern & Western,0,0,0,0,0,0,65.09,58.18,6.95,2.52,7.81,0.0,79.06,,,
100054,2019,0,1,Medium,Hospitality,Southern,0,0,0,0,0,0,68.24,56.72,7.02,2.82,6.72,0.0,87.78,,,
100055,2019,0,0,Small,Retail,Northern & Western,0,0,0,0,0,0,64.94,54.45,7.21,3.03,12.59,0.0,96.85,,,
100056,2019,0,1,Medium,Other Services,Eastern & Midlands,0,0,0,0,0,0,65.0,56.45,7.1,2.88,11.12,0.0,81.92,,,
100057,2019,0,0,Large,Retail,Southern,0,0,0,0,0,0,63.78,57.73,7.32,2.05,12.4,1.0,86.33,,,
100058,2019,0,1,Large,Production,Northern & Western,0,0,0,0,0,0,62.69,61.32,7.16,2.84,10.9,0.0,88.48,,,
100059,2019,0,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,62.77,57.13,6.96,2.09,13.91,0.0,89.01,,,
100060,2019,0,1,Medium,Other Services,Northern & Western,0,0,0,0,0,0,63.61,61.59,7.2,2.35,15.44,0.0,77.19,,,
100061,2019,0,0,Small,Construction,Southern,0,0,0,0,0,0,64.53,59.76,6.59,2.37,13.3,0.0,107.03,,,
100062,2019,0,1,Medium,Hospitality,Southern,0,0,0,0,0,0,62.86,62.11,7.02,1.94,14.31,0.0,101.16,,,
100063,2019,0,1,Small,Production,Southern,0,0,0,0,0,0,62.28,56.81,7.29,1.64,15.72,0.0,79.89,,,
100064,2019,0,1,Large,Business Services,Eastern & Midlands,0,0,0,0,0,0,63.12,60.73,7.24,2.47,14.39,0.0,88.46,,,
100065,2019,0,0,Large,Business Services,Northern & Western,0,0,0,0,0,0,66.28,58.8,7.32,2.58,9.14,0.0,95.81,,,
100066,2019,0,0,Large,Business Services,Eastern & Midlands,0,0,0,0,0,0,62.84,57.55,7.5,2.84,11.41,0.0,94.03,,,
100067,2019,0,0,Medium,Construction,Northern & Western,0,0,0,0,0,0,59.51,58.55,7.34,2.14,14.25,0.0,79.35,,,
100068,2019,0,0,Medium,Other Services,Eastern & Midlands,0,0,0,0,0,0,66.41,57.36,7.36,2.94,15.24,0.0,75.41,,,
100069,2019,0,0,Medium,Retail,Southern,0,0,0,0,0,0,63.12,56.96,7.07,2.9,15.18,0.0,82.01,,,
100070,2019,0,1,Small,Production,Northern & Western,0,0,0,0,0,0,63.25,57.92,7.34,2.71,13.15,0.0,87.62,,,
100071,2019,0,0,Small,Construction,Northern & Western,0,0,0,0,0,0,68.72,57.2,7.29,2.59,14.38,0.0,86.16,,,
100072,2019,0,0,Small,Hospitality,Northern & Western,0,0,0,0,0,0,68.53,59.09,7.03,2.58,12.78,0.0,104.35,,,
100073,2019,0,0,Large,Construction,Eastern & Midlands,0,0,0,0,0,0,64.76,58.94,7.29,2.79,13.24,0.0,96.78,,,
100074,2019,0,0,Small,Hospitality,Southern,0,0,0,0,0,0,62.64,56.83,7.05,3.15,10.59,0.0,88.46,,,
100075,2019,0,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,66.28,58.41,7.1,2.28,16.81,0.0,84.12,,,
100076,2019,0,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,66.26,56.86,7.43,2.54,11.47,0.0,111.15,,,
100077,2019,0,0,Large,Construction,Northern & Western,0,0,0,0,0,0,65.75,56.88,7.19,2.54,12.49,0.0,90.62,,,
100078,2019,0,0,Medium,Retail,Southern,0,0,0,0,0,0,64.1,56.57,7.16,2.6,18.14,0.0,67.3,,,
100079,2019,0,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,67.15,55.58,7.57,2.35,11.12,0.0,81.14,,,
100080,2019,0,1,Medium,Business Services,Southern,0,0,0,0,0,0,66.29,55.67,7.24,2.25,12.39,0.0,87.09,,,
100081,2019,0,1,Small,Retail,Eastern & Midlands,0,0,0,0,0,0,63.49,57.04,7.16,2.4,13.35,0.0,78.0,,,
100082,2019,0,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,0,63.0,54.91,7.34,2.94,12.63,1.0,105.1,,,
100083,2019,0,0,Medium,Retail,Southern,0,0,0,0,0,0,64.33,60.86,7.04,2.93,12.45,0.0,66.64,,,
100084,2019,0,1,Medium,Construction,Southern,0,0,0,0,0,0,61.96,57.91,7.14,1.98,13.12,0.0,83.27,,,
100085,2019,0,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,64.45,60.4,6.97,2.47,9.65,1.0,89.69,,,
100086,2019,0,0,Medium,Production,Southern,0,0,0,0,0,0,67.86,55.99,7.46,2.66,13.75,0.0,102.14,,,
100087,2019,0,0,Small,Production,Southern,0,0,0,0,0,0,62.18,57.45,7.32,2.63,16.82,1.0,94.35,,,
100088,2019,0,0,Large,Other Services,Northern & Western,0,0,0,0,0,0,65.52,57.42,7.05,2.5,11.38,1.0,111.8,,,
100089,2019,0,0,Medium,Other Services,Eastern & Midlands,0,0,0,0,0,0,61.61,58.37,7.16,2.42,13.1,1.0,97.52,,,
100090,2019,0,0,Small,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.84,55.26,7.37,3.14,15.96,0.0,66.67,,,
100091,2019,0,1,Medium,Retail,Southern,0,0,0,0,0,0,67.0,57.43,6.85,2.39,12.34,1.0,74.75,,,
100092,2019,0,1,Large,Construction,Southern,0,0,0,0,0,0,65.58,59.11,7.02,2.4,16.54,0.0,98.18,,,
100093,2019,0,0,Small,Production,Southern,0,0,0,0,0,0,64.0,56.82,7.27,2.54,11.72,0.0,89.71,,,
100094,2019,0,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,0,61.45,56.12,7.17,3.01,16.21,0.0,86.35,,,
100095,2019,0,0,Large,Hospitality,Northern & Western,0,0,0,0,0,0,65.69,57.63,7.07,2.74,11.32,0.0,91.44,,,
100096,2019,0,1,Large,Retail,Eastern & Midlands,0,0,0,0,0,0,67.01,59.33,7.16,2.87,12.95,0.0,104.15,,,
100097,2019,0,1,Small,Construction,Northern & Western,0,0,0,0,0,0,66.43,57.78,7.24,2.76,14.09,0.0,97.58,,,
100098,2019,0,0,Large,Retail,Southern,0,0,0,0,0,0,64.7,58.34,6.78,3.24,9.27,1.0,95.24,,,
100099,2019,0,0,Medium,Production,Eastern & Midlands,0,0,0,0,0,0,64.85,60.6,6.94,2.99,15.54,0.0,93.43,,,
100100,2019,0,0,Large,Construction,Northern & Western,0,0,0,0,0,0,65.7,59.01,7.04,2.42,13.11,1.0,81.99,,,
100101,2019,0,0,Large,Business Services,Eastern & Midlands,0,0,0,0,0,0,64.81,57.64,7.21,2.61,12.15,1.0,92.74,,,
100102,2019,0,1,Small,Production,Northern & Western,0,0,0,0,0,0,65.85,57.58,7.36,2.75,15.35,0.0,85.04,,,
100103,2019,0,1,Large,Retail,Northern & Western,0,0,0,0,0,0,62.74,59.21,7.46,2.76,17.77,0.0,97.91,,,
100104,2019,0,0,Small,Hospitality,Eastern & Midlands,0,0,0,0,0,0,64.6,58.06,7.11,2.81,14.38,1.0,87.84,,,
100105,2019,0,1,Medium,Business Services,Southern,0,0,0,0,0,0,63.7,56.33,7.05,2.66,17.39,0.0,117.18,,,
100106,2019,0,0,Large,Other Services,Eastern & Midlands,0,0,0,0,0,0,65.5,58.87,7.39,2.76,14.06,0.0,90.29,,,
100107,2019,0,0,Large,Construction,Southern,0,0,0,0,0,0,64.99,58.83,7.21,2.79,15.41,0.0,82.78,,,
100108,2019,0,1,Small,Other Services,Northern & Western,0,0,0,0,0,0,65.92,57.38,7.02,2.61,9.05,1.0,96.19,,,
100109,2019,0,1,Small,Production,Northern & Western,0,0,0,0,0,0,62.1,59.67,7.08,2.89,14.17,0.0,80.56,,,
100110,2019,0,0,Large,Construction,Eastern & Midlands,0,0,0,0,0,0,61.61,61.07,7.21,1.84,12.55,0.0,74.42,,,
100111,2019,0,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,0,64.39,55.26,7.34,2.38,10.74,0.0,79.72,,,
100112,2019,0,0,Large,Business Services,Southern,0,0,0,0,0,0,64.12,61.42,7.15,2.49,14.18,0.0,69.24,,,
100113,2019,0,0,Medium,Business Services,Southern,0,0,0,0,0,0,62.0,58.37,7.23,2.56,15.47,0.0,94.98,,,
100114,2019,0,1,Large,Business Services,Eastern & Midlands,0,0,0,0,0,0,62.4,56.99,7.27,2.92,12.95,0.0,102.66,,,
100115,2019,0,0,Medium,Business Services,Southern,0,0,0,0,0,0,65.62,52.58,7.29,2.15,15.56,0.0,86.67,,,
100116,2019,0,1,Medium,Hospitality,Southern,0,0,0,0,0,0,63.8,57.29,7.58,2.71,13.58,0.0,101.73,,,
100117,2019,0,0,Small,Retail,Eastern & Midlands,0,0,0,0,0,0,64.22,60.04,7.07,3.17,11.33,1.0,72.86,,,
100118,2019,0,0,Small,Business Services,Eastern & Midlands,0,0,0,0,0,0,62.34,55.4,7.2,1.99,8.19,0.0,96.25,,,
100119,2019,0,1,Small,Production,Northern & Western,0,0,0,0,0,0,66.39,62.93,7.2,2.7,11.83,0.0,93.36,,,
100120,2019,0,1,Small,Construction,Northern & Western,0,0,0,0,0,0,61.88,56.13,6.93,2.52,12.96,1.0,90.66,,,
100121,2019,0,1,Large,Other Services,Eastern & Midlands,0,0,0,0,0,0,65.89,55.52,6.68,2.2,13.83,0.0,78.02,,,
100122,2019,0,0,Medium,Business Services,Northern & Western,0,0,0,0,0,0,64.56,60.88,7.07,2.71,11.75,0.0,106.08,,,
100123,2019,0,0,Large,Production,Southern,0,0,0,0,0,0,66.98,60.66,7.07,2.73,14.1,0.0,119.79,,,
100124,2019,0,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,64.69,55.23,7.37,2.46,10.58,0.0,83.28,,,
100125,2019,0,0,Medium,Production,Northern & Western,0,0,0,0,0,0,65.47,56.08,7.26,2.71,15.75,0.0,79.58,,,
100126,2019,0,1,Medium,Other Services,Eastern & Midlands,0,0,0,0,0,0,67.49,59.3,7.41,2.52,10.75,0.0,80.65,,,
100127,2019,0,0,Large,Other Services,Northern & Western,0,0,0,0,0,0,64.5,58.48,7.14,3.16,9.68,0.0,74.89,,,
100128,2019,0,0,Small,Production,Eastern & Midlands,0,0,0,0,0,0,64.2,57.49,7.42,2.9,15.18,0.0,80.13,,,
100129,2019,0,0,Large,Hospitality,Southern,0,0,0,0,0,0,61.84,59.36,7.04,2.52,10.66,0.0,93.43,,,
100130,2019,0,0,Medium,Other Services,Northern & Western,0,0,0,0,0,0,66.48,59.21,7.16,2.24,14.47,0.0,94.78,,,
100131,2019,0,0,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,61.82,54.84,7.11,2.42,9.66,0.0,84.16,,,
100132,2019,0,0,Medium,Construction,Southern,0,0,0,0,0,0,68.24,58.79,7.16,3.08,12.59,0.0,84.73,,,
100133,2019,0,0,Small,Business Services,Northern & Western,0,0,0,0,0,0,62.47,56.03,6.82,2.33,15.86,0.0,82.81,,,
100134,2019,0,1,Small,Other Services,Northern & Western,0,0,0,0,0,0,64.4,54.49,7.35,2.82,11.76,0.0,92.26,,,
100135,2019,0,1,Large,Production,Eastern & Midlands,0,0,0,0,0,0,65.57,56.51,7.1,1.91,10.86,0.0,96.67,,,
100136,2019,0,1,Small,Retail,Southern,0,0,0,0,0,0,63.81,59.05,7.4,2.53,15.22,0.0,87.8,,,
100137,2019,0,1,Medium,Retail,Eastern & Midlands,0,0,0,0,0,0,66.05,59.09,7.02,2.77,14.48,0.0,96.49,,,
100138,2019,0,0,Medium,Construction,Northern & Western,0,0,0,0,0,0,61.35,59.58,7.06,2.63,9.33,0.0,103.45,,,
100139,2019,0,1,Small,Retail,Eastern & Midlands,0,0,0,0,0,0,62.71,57.36,7.3,2.79,11.88,0.0,98.97,,,
100140,2019,0,0,Small,Construction,Eastern & Midlands,0,0,0,0,0,0,63.39,60.42,7.12,3.11,14.53,0.0,76.44,,,
100141,2019,0,0,Small,Business Services,Southern,0,0,0,0,0,0,63.47,57.03,7.07,3.08,11.4,0.0,91.35,,,
100142,2019,0,0,Large,Construction,Southern,0,0,0,0,0,0,64.26,58.11,6.96,2.45,7.5,0.0,100.8,,,
100143,2019,0,0,Large,Hospitality,Northern & Western,0,0,0,0,0,0,64.12,61.25,7.01,2.41,12.03,0.0,89.18,,,
100144,2019,0,0,Medium,Hospitality,Southern,0,0,0,0,0,0,63.75,58.58,7.35,2.83,10.89,0.0,86.4,,,
100145,2019,0,1,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,62.54,55.06,7.36,2.82,13.51,0.0,96.81,,,
100146,2019,0,1,Large,Other Services,Northern & Western,0,0,0,0,0,0,59.95,56.42,7.05,2.56,13.55,0.0,81.37,,,
100147,2019,0,1,Medium,Hospitality,Southern,0,0,0,0,0,0,65.33,62.8,7.22,3.05,12.9,0.0,78.46,,,
100148,2019,0,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,65.45,57.86,7.04,3.02,10.41,0.0,93.55,,,
100149,2019,0,0,Small,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.64,59.36,7.23,2.1,10.91,0.0,81.12,,,
100150,2019,0,1,Small,Hospitality,Northern & Western,0,0,0,0,0,0,65.45,59.0,6.99,2.73,12.58,0.0,85.45,,,
100151,2019,0,0,Large,Other Services,Northern & Western,0,0,0,0,0,0,63.84,59.22,7.22,2.43,11.77,1.0,94.61,,,
100152,2019,0,1,Medium,Hospitality,Southern,0,0,0,0,0,0,65.34,58.69,7.1,2.46,11.77,0.0,100.3,,,
100153,2019,0,0,Large,Hospitality,Southern,0,0,0,0,0,0,64.56,61.5,7.2,2.78,12.88,0.0,89.39,,,
100154,2019,0,0,Large,Business Services,Southern,0,0,0,0,0,0,62.82,59.16,7.04,2.38,10.43,0.0,72.8,,,
100155,2019,0,1,Medium,Other Services,Southern,0,0,0,0,0,0,60.36,57.53,7.12,2.84,14.56,0.0,102.19,,,
100156,2019,0,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,62.59,59.14,6.99,2.04,15.16,0.0,84.0,,,
100157,2019,0,0,Medium,Construction,Eastern & Midlands,0,0,0,0,0,0,62.45,58.76,7.07,2.97,14.25,0.0,85.72,,,
100158,2019,0,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,62.84,56.8,7.17,3.01,13.21,0.0,91.64,,,
100159,2019,0,0,Large,Other Services,Southern,0,0,0,0,0,0,63.53,60.35,7.21,2.35,13.8,0.0,116.76,,,
100160,2019,0,0,Large,Retail,Northern & Western,0,0,0,0,0,0,65.35,60.04,7.15,2.89,16.33,1.0,93.3,,,
100161,2019,0,0,Large,Production,Southern,0,0,0,0,0,0,64.07,61.53,7.34,2.65,11.3,0.0,87.73,,,
100162,2019,0,0,Medium,Other Services,Southern,0,0,0,0,0,0,68.11,57.84,7.34,2.64,14.49,0.0,92.28,,,
100163,2019,0,0,Small,Business Services,Northern & Western,0,0,0,0,0,0,63.16,57.61,7.16,2.45,9.15,0.0,88.05,,,
100164,2019,0,0,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.9,57.99,6.84,2.86,10.08,0.0,83.29,,,
100165,2019,0,0,Small,Business Services,Eastern & Midlands,0,0,0,0,0,0,64.84,57.83,7.29,2.26,13.46,0.0,75.97,,,
100166,2019,0,0,Small,Production,Southern,0,0,0,0,0,0,60.74,59.41,7.3,2.33,14.71,1.0,90.6,,,
100167,2019,0,0,Small,Production,Northern & Western,0,0,0,0,0,0,67.14,55.8,7.25,2.39,10.39,1.0,94.79,,,
100168,2019,0,1,Medium,Other Services,Eastern & Midlands,0,0,0,0,0,0,63.57,57.98,7.54,2.92,12.08,0.0,95.04,,,
100169,2019,0,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.78,56.98,7.17,2.49,13.84,0.0,78.66,,,
100170,2019,0,0,Large,Hospitality,Northern & Western,0,0,0,0,0,0,64.39,56.88,7.77,2.64,11.57,0.0,78.41,,,
100171,2019,0,0,Large,Construction,Northern & Western,0,0,0,0,0,0,66.54,55.05,7.33,2.98,12.18,0.0,94.11,,,
100172,2019,0,0,Medium,Production,Eastern & Midlands,0,0,0,0,0,0,65.1,53.78,7.02,2.21,14.37,0.0,106.65,,,
100173,2019,0,1,Medium,Hospitality,Southern,0,0,0,0,0,0,66.18,57.32,6.86,3.34,11.77,0.0,93.09,,,
100174,2019,0,0,Small,Production,Southern,0,0,0,0,0,0,64.21,61.12,7.49,2.78,12.31,0.0,100.74,,,
100175,2019,0,1,Medium,Construction,Eastern & Midlands,0,0,0,0,0,0,64.75,58.46,7.01,2.54,12.09,0.0,99.76,,,
100176,2019,0,0,Medium,Retail,Southern,0,0,0,0,0,0,63.23,55.19,6.97,2.75,11.6,1.0,101.3,,,
100177,2019,0,0,Medium,Production,Southern,0,0,0,0,0,0,62.78,56.31,7.34,2.41,11.56,0.0,88.09,,,
100178,2019,0,1,Medium,Construction,Northern & Western,0,0,0,0,0,0,63.58,56.45,7.18,1.83,12.1,0.0,89.19,,,
100179,2019,0,0,Small,Construction,Northern & Western,0,0,0,0,0,0,63.69,57.88,7.23,2.31,16.91,0.0,86.55,,,
100180,2019,0,0,Large,Construction,Northern & Western,0,0,0,0,0,0,63.97,57.77,7.06,2.71,10.46,0.0,86.15,,,
100181,2019,0,0,Small,Business Services,Southern,0,0,0,0,0,0,65.29,60.12,7.25,2.4,9.99,0.0,104.5,,,
100182,2019,0,0,Medium,Other Services,Northern & Western,0,0,0,0,0,0,61.8,56.66,6.89,2.32,10.93,0.0,98.82,,,
100183,2019,0,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,64.59,56.58,7.2,2.66,9.49,0.0,83.18,,,
100184,2019,0,1,Large,Production,Eastern & Midlands,0,0,0,0,0,0,61.53,59.33,6.77,2.23,13.29,0.0,84.86,,,
100185,2019,0,0,Large,Other Services,Northern & Western,0,0,0,0,0,0,61.71,60.36,6.83,2.53,14.45,1.0,94.89,,,
100186,2019,0,0,Large,Business Services,Eastern & Midlands,0,0,0,0,0,0,64.46,56.28,7.34,2.3,13.39,0.0,83.16,,,
100187,2019,0,1,Small,Production,Southern,0,0,0,0,0,0,64.04,56.65,7.39,2.86,16.22,0.0,73.58,,,
100188,2019,0,0,Large,Other Services,Northern & Western,0,0,0,0,0,0,62.9,56.1,7.35,3.2,11.31,0.0,109.2,,,
100189,2019,0,0,Medium,Business Services,Eastern & Midlands,0,0,0,0,0,0,66.51,56.48,7.18,2.64,12.88,0.0,90.57,,,
100190,2019,0,0,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.06,56.97,6.8,2.69,14.69,0.0,92.17,,,
100191,2019,0,1,Medium,Construction,Eastern & Midlands,0,0,0,0,0,0,65.3,60.21,7.53,2.25,14.87,0.0,87.46,,,
100192,2019,0,0,Small,Other Services,Southern,0,0,0,0,0,0,66.02,57.4,7.36,2.69,10.68,1.0,101.49,,,
100193,2019,0,0,Large,Other Services,Northern & Western,0,0,0,0,0,0,66.89,60.26,7.35,2.43,14.96,0.0,94.28,,,
100194,2019,0,1,Large,Production,Southern,0,0,0,0,0,0,63.55,56.84,7.49,2.38,11.91,1.0,77.44,,,
100195,2019,0,0,Large,Construction,Eastern & Midlands,0,0,0,0,0,0,64.15,54.86,7.04,2.72,12.79,0.0,91.89,,,
100196,2019,0,0,Large,Hospitality,Southern,0,0,0,0,0,0,63.06,55.97,6.89,3.09,11.68,0.0,70.36,,,
100197,2019,0,0,Medium,Production,Southern,0,0,0,0,0,0,63.05,58.13,7.55,2.45,11.07,0.0,87.85,,,
100198,2019,0,0,Small,Retail,Eastern & Midlands,0,0,0,0,0,0,65.15,61.87,7.11,2.84,10.18,1.0,86.55,,,
100199,2019,0,0,Large,Retail,Northern & Western,0,0,0,0,0,0,66.74,55.58,7.25,2.36,12.21,1.0,86.94,,,
100200,2019,0,0,Medium,Retail,Northern & Western,0,0,0,0,0,0,62.85,59.39,7.16,2.57,15.18,0.0,87.2,,,
100201,2019,0,0,Medium,Hospitality,Southern,0,0,0,0,0,0,62.64,57.76,7.22,2.63,19.16,0.0,100.98,,,
100202,2019,0,0,Small,Retail,Northern & Western,0,0,0,0,0,0,61.59,59.11,7.14,2.92,13.46,0.0,83.54,,,
